https://www.globo.com;26/8/2021
Tipo;Notícia
h3.post__title;Luiz Henrique faz o 2º do Flu contra o Bragantino; siga
h3.post__title;Fred ultrapassa Romário se isola como 2º maior artilheiro do Brasileirão
h3.post__title;Sabe a classificação do seu time? Clique na tabela e veja como está a situação
h3.post__title;América-MG consegue empate nos acréscimos contra o Flamengo
h3.post__title;Freiburg dá adeus a velho estádio com goleada sobre Augsburg
h3.post__title;Arsenal cria vantagem na 1ª etapa e vence clássico com Tottenham
h3.post__title;Gustavo Bardim, do Time Teló, é o campeão
h3.post__title;Confira todas as apresentações
h3.post__title;Veja os looks dos técnicos
h3.post__title;Com Adriana Lima e mais famosos, Museu do Oscar é inaugurado
h3.post__title;Isabel confessa a Luísa temor de que algo a afaste de Pierre
h3.post__title;Senador José Aníbal é diagnosticado com Covid-19
h3.post__title;RS registra cinco mortes de Covid neste domingo
h3.post__title;Ex de Bolsonaro teve 18 parentes em gabinetes do clã
h3.post__title;Blog: acerto com Mourão partiu do presidente
h3.post__title;Boca de urna aponta empate na sucessão de Merkel
h3.post__title;Cronologia: os altos e baixos dos 16 anos
h3.post__title;Inter abre contra o Bahia com Yuri Alberto; lances
h3.post__title;Juventude e Santos tentam fugir do Z-4; siga aqui
h3.post__title;Cruzeiro sai na frente contra o CSA; acompanhe
h3.post__title;Polícia investiga desaparecimento de empresário após cortar cabelo no RJ
h3.post__title;Ouça áudios de coiote ameaçando imigrante ilegal que atravessou fronteira dos EUA
h3.post__title;Britânica compra kit na web, recebe sêmen de doador em casa e engravida com tutorial no Youtube
h3.post__title;Trio convida homem para sexo em grupo e foge com o carro dele em assalto no Vale do Itajaí
h3.post__title;Casal de araras toma água em rotatória movimentada em Palmas; vídeo
h3.post__title;Equipes resgatam lancha que afundou na Baía de Guanabara
h3.post__title;Mega-Sena divulga rateio neste domingo; prêmio acumula e vai a R$ 10 milhões
h3.post__title;Imagem de peixe 'comendo' cigarro no fundo do mar choca e alerta
h3.post__title;'Decidiu transformar dor em luta', diz pai de adolescente negra barrada em shopping
h3.post__title;Cosme e Damião: gêmeos de 72 anos batizados em homenagem aos santos distribuem doces
h3.post__title;Jogadores do Junior Barranquilla viralizam ao cheirar substância em campo
h3.post__title;Hamilton vence GP da Rússia e se torna 1º piloto a triunfar pela 100ª vez na F1
h3.post__title;Volkanovski e Ortega levam bônus de 'luta da noite' no UFC 266
h3.post__title;Welington retorna ao time titular do São Paulo e acirra disputa com Reinaldo
h3.post__title;Brasil vence Marrocos e vai à semifinal do Mundial de Futsal
h3.post__title;Autor do gol da vitória, Rodrigo diz que Brasil sempre tem que estar entre finalistas do futsal
h3.post__title;Cristiano Ronaldo pede 'reação' ao United, e Bruno Fernandes diz que seguirá batendo pênaltis
h3.post__title;CR7, Michael Jordan e Roger Federer: astros faturam bilhões no mundo dos negócios
h3.post__title;Cartoleiro PRO tem R$ 640.000 em prêmios, 10 ligas pra zoar com os amigos e acesso ao Gato Mestre
h3.post__title;Rafaela Silva vira a página após cumprir suspensão de 2 anos
h3.post__title;Leo Santana mostra Lore após chegada da filha e brinca: 'A cara do pai'
h3.post__title;Gretchen mostra lago de peixes na sala e item inusitado da decoração
h3.post__title;Aos 48 anos, Vanessa Gerbelli posa de biquíni e pergunta o que comer
h3.post__title;Virgínia Fonseca volta às redes e conta que vai a Portugal: 'Jogar cinzas no Rio Tejo'
h3.post__title;Em luta contra tumor, Helô Pinheiro muda corte após 50 anos: 'Estava presa ao passado'
h3.post__title;Gwyneth Paltrow aparece em foto rara com a filha e se derrete
h3.post__title;Humorista Amy Schumer celebra após remover útero e retirar tumor do apêndice
h3.post__title;Rafael Portugal conta que engordou 10kg na quarentena: 'Mudou a barriga'
h3.post__title;Danni Suzuki diz que filho lhe arruma pretendentes: 'Sofri 8 meses, chorava toda madrugada'
h3.post__title;Duda Reis faz desabafo sobre Nego do Borel: 'Gatilhos enormes'
h3.post__title;Veja o gol de Rodrigo contra o Marrocos que levou o Brasil à semi do Mundial
h3.post__title;Bate-Estaca e Lawler nocauteiam, Marlon leva virada, e Taila domina rival
h3.post__title;Rebecca/Talita e Vitor Felipe/Renato vencem primeira etapa do Brasileiro pós-Tóquio
h3.post__title;A Voz da Torcida - Markin: 'O empate foi lucrativo'
h3.post__title;Gustavo Mosquito, do Corinthians, provoca Palmeiras: '51 é pinga'
h3.post__title;Falcões transformam floreira de apartamento em Presidente Prudente, SP, em ninho
h3.post__title;Caminhão tomba, e população saqueia carga de alimentos no Ceará
h3.post__title;Incêndio atinge fábrica de sandálias no Distrito Federal
h3.post__title;Bairros de Salvador e região metropolitana ficam sem luz na madrugada
h3.post__title;Duzentas pessoas são barradas por falta de vacina em evento-teste em Manaus
h3.post__title;Você está mais pobre ou é o iPhone que subiu de preço? Entenda
h3.post__title;Brasileiros faturam milhões com jogos eletrônicos; veja ranking
h3.post__title;Celular Nokia já tem desconto no Brasil; veja prós e contras
h3.post__title;FIFA 22 exclui Mendy, preso preventivamente por estupro
h3.post__title;5 plantas fáceis de cuidar para quem mora sozinho
h3.post__title;Conheça 11 espécies resistentes e que demandam luz direta
h3.post__title;Agricultores enfrentam a cigarrinha durante colheita do milho no RS
h3.post__title;Especialistas negam mito de que devemos beber 2 litros de água por dia
h3.post__title;Ajuda a emagrecer e mais: veja benefícios - e como fazer - chá de alecrim
h3.post__title;Machucou o quadril? Confira as lesões mais comuns e os seus tratamentos
h3.post__title;Unicórnio, Gata Espelhada e Jacaré - Camilla de Lucas investiga os mais votados
h3.post__title;42 anos depois da exibição original, veja como está o elenco da novela
h3.post__title;Joelma conta que descobriu problema no sangue: 'Estava coagulando'
h3.post__title;Deborah Colker estreia 'Cura' no Globoplay e arranca elogios
h3.post__title;Os Roni está com nova temporada no Multishow; diversão garantida
h3.post__title;Nova série traz para os dias atuais o universo do filme 'Tatuagem'
h3.post__title;Entenda como os memes da internet impactam na geração de polêmicas
h3.post__title;Jovem modelo de São Paulo morre após acidente em rodovia em Anápolis, Goiás
h3.post__title;Imigrantes brasileiros são encontrados em caminhão na fronteira entre EUA e México
h3.post__title;Polícia investiga Nego do Borel por 'suspeita de estupro de vulnerável' contra modelo
h3.post__title;Governo já faz planos de auxílio emergencial 'regressivo' para 2022
h3.post__title;Reino Unido vai conceder mais de 10 mil vistos para contornar escassez de mão de obra
h3.post__title;TV flagra suposta reclamação de Mbappé contra Neymar: 'Não passa para mim'
h3.post__title;Veja divisão de grupos da próxima fase e rebaixados da Série C
h3.post__title;São Paulo e Atlético-MG perdem chances e ficam no 0 a 0 no Morumbi
h3.post__title;Análise: com foco na Libertadores, Atlético-MG amplia invencibilidade sem correr riscos
h3.post__title;Róger Guedes faz dois gols e comanda vitória do Corinthians sobre o Palmeiras
h3.post__title;Munik Nunes é fotografada aos beijos com ex da também ex-BBB Renatinha em praia
h3.post__title;Deborah Secco coloca bronzeado em dia à beira da piscina; fotos
h3.post__title;Thiaguinho e Carol Peixinho se vacinam em SP no mesmo carro e rumores de affair aumentam
h3.post__title;Carol Portaluppi nega entrevistas a pedido do pai e tem evitado 'assédio' da praia
h3.post__title;Susana Vieira volta ao teatro após quimioterapia: 'Tô viva e feliz de novo!'
