https://www.uol.com.br/;26/8/2021
Tipo;Notícia
h1.titulo;2 milhões de famílias foram à extrema pobreza no governo Bolsonaro
h2.titulo;Em São Paulo, famílias relatam comer descartes, mesmo passando mal depois
h2.titulo;Com direito a escolha, Rio de Janeiro registra recorde diário de vacinação
h2.titulo;Presidente da Caixa testa positivo para covid e é 4º caso de delegação a NY
h2.titulo;Planalto tenta se blindar de acusação de propaganda eleitoral antecipada nos mil dias de Bolsonaro
h2.titulo;Aras não é dono da verdade e não vai poder ignorar relatório da CPI, diz Omar Aziz
h2.titulo;'Continuo acreditando no Brasileiro' diz Renato após empate do Flamengo
h2.titulo;Fábio Seixas: 'Norris errou. Se tivesse obedecido a McLaren, teria vencido'
h2.titulo;Boca de urna indica empate entre social-democratas e conservadores
h2.titulo;Final hoje fecha Brasileirão que indica fim de times 'só femininos'
h2.titulo;Lucas Mendes desmente Janaína Paschoal sobre Manhattan Connection
h2.titulo;Atriz da Globo vítima de transfobia: 'Denunciar é desgastante e doloroso'
h2.titulo;Há 10 anos, Austrália enterrou 23 aviões F-111 aposentados; entenda por quê
h2.titulo;Má circulação nas pernas pode indicar problemas no coração?
h2.titulo;Bene: Volvo XC40 elétrico traz bateria que te leva longe
h2.titulo;Chegada da primavera aumenta o risco de doenças alérgicas
h2.titulo;Por que alemãs apostam em futuro com carros a hidrogênio
h2.titulo;Por que são dados doces no dia de São Cosme e Damião
h2.titulo;Dayane Mello diz que sente 'angústia' pela situação de Nego do Borel após expulsão
h2.titulo;Empresa desliga tecnologia de chatbot após viúvo 'reviver' sua esposa
h2.titulo;Anda mesmo sozinho? Tesla vira alvo de autoridades após alguns acidentes
h2.titulo;Veja como estão os envolvidos no caso von Richthofen depois de 19 anos
h2.titulo;Paixão pelo futebol une irmãos surdos em sonhos e conquistas
h2.titulo;Rapper Hungria diz que filho de doméstica estudava escutando sua música e virou juiz
h2.titulo;Famílias de vítimas do voo da Chape sobre mulher presa: 'Ponta do iceberg'
h2.titulo;Modelo paulista morre após acidente de carro em Anápolis (GO)
h2.titulo;Pneumonia pode adiar alta de noivos envenenados que estão internados em MG
h2.titulo;Corpo não é liberado, e funeral de Gabby Petito acontece com urna vazia nos EUA
h2.titulo;São Paulo sem utopia: cidade está presa em uma armadilha, a mesmice
h2.titulo;Como ajudar pessoas a comer e sobreviver na pandemia de covid
h2.titulo;Bolsonaro festeja mil dias de governo: fome, inflação e morte
h2.titulo;As 550 mil vidas da Prevent Senior
h2.titulo;Modelo em A Fazenda mostra moda avessa à diversidade
h2.titulo;Três receitas de drinques fáceis e refrescantes para o domingo
h2.titulo;Comunidade paralela
h2.titulo;Astrônomos preveem ?reprise? de supernova de 2016 em 2037
h2.titulo;América castiga o Flamengo
h2.titulo;STJ decide sobre perda do cargo de juiz acusado de improbidade
h2.titulo;A bola é um problema para Abel Ferreira, não para Roger
h2.titulo;Violência contra Dayane continua com homens defendendo Borel
h2.titulo;A milagreira americana no banco dos réus
h2.titulo;Empresa desliga chatbot após viúvo 'reviver' esposa
h2.titulo;Carlos Neder, luta pela saúde pública e participação social
h2.titulo;Michael incorporou Maradona
h2.titulo;O escândalo bolsonoide
h2.titulo;Produtos da Apple são caros, mas por que preço não afasta os fãs?
h2.titulo;Destruir a sanidade dos jovens é um mercado lucrativo
h2.titulo;Caso Borel-Dayane faz refletir sobre rumo dos reality shows
h2.titulo;Empreiteiros eram mais escolados do que os agrotrogloditas
h2.titulo;São Paulo consegue segurar o Galo, futuro campeão
h2.titulo;O que é melhor deixar como herança?
h2.titulo;A arte de juntar coisas
h2.titulo;Merkel: de direita, conservadora, terrivelmente democrática
h2.titulo;Carlos Neder, presente!
h2.titulo;Ela estuda microplástico na Antártida
h2.titulo;Corinthians x Palmeiras; Flamengo, Galo e Daniel Alves
h2.titulo;Existe um sex toy perfeito pra você? Descubra!
h2.titulo;Saiba como destacar os seus principais contatos no WhatsApp
h2.titulo;PS5, Switch ou Xbox Series? Veja prós e contras dos consoles
span.linha;Copa do Mundo de Futsal terá Brasil x Argentina na semi
span.linha;Vocalista do Kasino se converte após post de Bieber e deixa grupo
span.linha;Rio reinaugura estações do BRT dominadas por tráfico e milícia
span.title;Rayssa Leal surpreende fãs
span.title;Murilo Rosa fala de trabalho e política
span.title;Carta de amor e bilhete assassino
span.title;UOL Esporte Clube
span.title;UOL Curso de Inglês
span.title;UOL Pós-Graduação
span.title;UOL CONCURSOS
span.title;UOL Cursos
span.chamada;Valentina Shevchenko nocauteia novamente
span.chamada;O técnico que não perdeu nas divisões nacionais em 2021
span.chamada;Futebol feminino brasileiro, um edifício em construção
span.chamada;'Vamos todos cantar de coração': o mantra de Fernando Diniz no Vasco
span.chamada;Filho de Jordan é denunciado por agredir profissional de saúde
span.chamada;3ª geração de ídolos do Milan, Daniel Maldini faz 1º gol pelo clube
span.chamada;Por onde anda o elenco da série 'Friends' hoje
span.chamada;Joelma diz que começou tratamento no sangue: 'Estava coagulando'
span.chamada;Erika e Erasmo falam de teoria de Solange sobre casais pré-formados
span.chamada;Pilar quebra a cara com Dolores e se dá mal duas vezes
span.chamada;Ator britânico pega berne em gravação da HBO na Amazônia
span.chamada;Resgate seus cupons de desconto com até 75% OFF!
span.chamada;PSOL reelege Juliano Medeiros como presidente
span.chamada;Cinco palestinos são mortos durante operação israelense
span.chamada;Richard Gere vai testemunhar contra líder da extrema-direita
span.chamada;Termina hoje prazo para inscrição de isentos que faltaram no Enem 2020
span.chamada;Jovem morre após sofrer descarga elétrica enquanto usava chapinha
span.chamada;Pescadores 'lutam' com tubarão de quase 250 kg durante 1 hora
span.chamada;Além do sexo: eles foram ao motel para jantar, fazer fotos e até trabalhar
span.chamada;'Por medo, me escondi': mulheres surdas contam como aceitaram deficiência
span.chamada;Quer mudar de emprego e não consegue? Simpatias podem dar uma força
span.chamada;Serena Williams: 5 fatos que tornam a tenista campeã fora das quadras
span.chamada;Brasileiros são os que mais valorizam vacinação, mostra levantamento global
span.chamada;Compostos que reduzem o risco de doenças crônicas são pouco consumidos
span.chamada;Grávidas devem tomar paracetamol apenas com orientação médica
span.chamada;Saliva do mosquito da dengue pode tratar doenças inflamatórias intestinais
span.chamada;Salvador ganha museu sobre a música baiana e sua influência no país
span.chamada;Como congelar massa de bolo para durar mais tempo
span.chamada;Fotografias na decoração: saiba como usar para valorizar ambientes
span.chamada;Resort na Tailândia lança cardápio à base de maconha
